date,pid,price,regular,promo,label,until
2026-09-16,106889,1.99,1.99,0,,
2026-09-16,106901,2.49,2.49,0,,
2026-09-16,106908,3.79,3.79,0,,
2026-09-16,106968,1.55,1.55,0,,
2026-09-16,107095,3.79,3.79,0,,
2026-09-16,107109,5.49,5.49,0,,
2026-09-16,107223,4.95,4.95,0,,
2026-09-16,107458,3.99,3.99,0,,
2026-09-16,107464,2.29,2.29,0,,
2026-09-16,108190,1.99,1.99,0,,
2026-09-16,108551,1.99,1.99,0,,
2026-09-16,108628,0.59,0.59,0,,
2026-09-16,108661,4.25,4.25,0,,
2026-09-16,108993,3.39,3.39,0,,
2026-09-16,108995,3.39,3.39,0,,
2026-09-16,109093,5.99,5.99,0,,
2026-09-16,109585,1.29,1.29,0,,
2026-09-16,109770,2.59,2.59,0,,
2026-09-16,110427,1.29,1.29,0,,
2026-09-16,110477,3.29,3.29,0,,
2026-09-16,152944,0.79,0.79,0,,
2026-09-16,152945,0.79,0.79,0,,
2026-09-16,153097,3.49,3.49,0,,
2026-09-16,153150,12.55,12.55,0,,
2026-09-16,153163,3.19,3.19,0,,
2026-09-16,153164,3.99,3.99,0,,
2026-09-16,153165,3.95,3.95,0,,
2026-09-16,153168,4.45,4.45,0,,
2026-09-16,153169,2.95,2.95,0,,
2026-09-16,153170,1.49,1.49,0,,
2026-09-16,153268,1.75,1.75,0,,
2026-09-16,153344,4.39,4.39,0,,
2026-09-16,153355,9.95,9.95,0,,
2026-09-16,153673,1.09,1.09,0,,
2026-09-16,153753,4.99,4.99,0,,
2026-09-16,153814,13.95,13.95,0,,
2026-09-16,153919,0.99,0.99,0,,
2026-09-16,153920,0.99,0.99,0,,
2026-09-16,154692,1.19,1.19,0,,
2026-09-16,154730,3.25,3.25,0,,
2026-09-16,154805,13.99,13.99,0,,
2026-09-16,154920,9.49,9.49,0,,
2026-09-16,154926,7.49,7.49,0,,
2026-09-16,155029,7.99,7.99,0,,
2026-09-16,155064,4.49,4.49,0,,
2026-09-16,155164,4.99,4.99,0,,
2026-09-16,155538,3.65,3.65,0,,
2026-09-16,155625,0.99,0.99,0,,
2026-09-16,155631,0.65,0.65,0,,
2026-09-16,155664,4.89,4.89,0,,
2026-09-16,155667,3.39,3.39,0,,
2026-09-16,170909,6.29,6.29,0,,
2026-09-16,172733,7.79,7.79,0,,
2026-09-16,173632,7.95,7.95,0,,
2026-09-16,174128,1.49,1.49,0,,
2026-09-16,174603,6.99,6.99,0,,
2026-09-16,174758,6.99,6.99,0,,
2026-09-16,175297,1.85,1.85,0,,
2026-09-16,175300,2.19,2.19,0,,
2026-09-16,177170,6.99,6.99,0,,
2026-09-16,177854,2.89,2.89,0,,
2026-09-16,179484,1.55,1.55,0,,
2026-09-16,180260,1.69,1.69,0,,
2026-09-16,180302,1.49,1.49,0,,
2026-09-16,180865,3.99,3.99,0,,
2026-09-16,181371,8.49,8.49,0,,
2026-09-16,181902,8.99,8.99,0,,
